ITEM_Code,ITEM
_T,All Items
ITEM_01,Food and Non Alcoholic Beverages
ITEM_01,01 Food and non-alcoholic beverages
ITEM_01,Food and non-alcoholic beverages
ITEM_01_01,Chicken leg quarters
ITEM_01_02,Raw Sugar
ITEM_01_03,Bread
ITEM_01_04,Corned Beef Oxford
ITEM_01_05,Taro
ITEM_01_06,Re-packed medium grain rice
ITEM_01_07,Prepacked medium grain rice
ITEM_01_08,Keke Saina Biscuits
ITEM_01_09,Ice Cream
ITEM_01_10,Ramen
ITEM_01_11,Fish (Piece)
ITEM_01_12,Butter
ITEM_01_13,Round Pancake
ITEM_01_14,Mutton Flaps
ITEM_01_15,Canned fish between $3.00 and $3.99 N/Oil
ITEM_01_16,Canned fish $4:00 or over  N/Oil
ITEM_01_17,Canned fish between $3.00 and $3.99 N/Oil
ITEM_01_18,Canned fish under $3.00 in N/Oil
ITEM_01_19,Turkey Wings
ITEM_01_20,Fish (string)
ITEM_01_21,Fish (large)
ITEM_01_22,Cooking vegetable oil
ITEM_01_23,Sausage beef
ITEM_01_24,Chinese Cabbage
ITEM_01_25,Eggs medium size
ITEM_01_26,Flour plain white
ITEM_01_27,Onions
ITEM_01_28,Milk Devondale
ITEM_01_29,Soft Drink Coke
ITEM_01_30,Soft Drink Taxi
ITEM_01_31,Milk Anchor
ITEM_01_32,Salted Beef
ITEM_01_33,Koko Samoa
ITEM_01_34,Corned Beef Pacific
ITEM_01_35,Green Banana
ITEM_01_36,Cucumbers
ITEM_01_37,Mutton Neck
ITEM_01_38,Vermicelli Lungken
ITEM_01_39,Tomatoes
ITEM_01_40,Sausage Pork
ITEM_01_41,Round Cabbage Round
ITEM_01_42,Bongo
ITEM_01_43,Ramen Kimchi (bowl)
ITEM_01_44,Soy Souce Mushroom
ITEM_01_45,Pork Pig Trotter
ITEM_01_46,Corned Beef Palm
ITEM_01_47,Ripe Banana
ITEM_01_48,Tang powder
ITEM_01_49,Minties Pascall
ITEM_01_50,Potatoes
ITEM_01_51,Apple small
ITEM_01_52,Mineral Water
ITEM_01_53,Chocolate Cake
ITEM_01_54,Instant Nescafe Coffee
ITEM_01_55,bell Tea Bags
ITEM_01_56,Samco Twisties
ITEM_01_57,Matured husked Coconuts
ITEM_01_58,Matured Un husked Coconuts
ITEM_01_59,Taamu
ITEM_01_60,Canned fish Soifua in Tomato Sauce 
ITEM_01_61,CCK Coffee
ITEM_01_62,Sky Flakes Biscuits
ITEM_01_63,Stewing beef
ITEM_02,"Alcoholic Beverages, Tobacco and Narcotics"
ITEM_02,"02 Alcoholic beverages, tobacco and narcotics"
